Prof,DT
1000,NaN
1250,151
1300,152
1350,152
1400,151
1450,149
1500,148
1550,145
1600,144
1650,141
1700,140
1750,138
1800,135
1850,132
1900,129
1950,127
2000,123
2050,121
2100,119
2150,118
2200,116
2250,116
2300,117
2350,117
2400,116
2450,117
2500,116
2550,113
2600,110
2650,106
2700,102
2750,99
2800,97
2850,95
2900,96
2950,96
3000,92
3050,85
3100,80
3150,74
3200,71
3250,72
3300,73
3350,75
3400,76
3450,74
3500,72
3550,70
3600,70
3650,71
3700,73
3750,74
3800,72
3850,70
3900,68
3950,68
4000,70
4050,72
4100,74
4150,75
4200,73
4250,71
4300,70
4350,70
4400,72
4450,74
4500,73
