Prof	DT
1000	NaN
1250	152.966666666667
1300	152.425
1350	152.3
1400	150.52
1450	148.28
1500	147.16
1550	146.48
1600	144.84
1650	144.68
1700	144.68
1750	142
1800	137.4
1850	131.76
1900	126.76
1950	122.52
2000	120.36
2050	121.4
2100	124.08
2150	124.76
2200	123.88
2250	121.68
2300	117.68
2350	114.32
2400	112.48
2450	110.6
2500	111.04
2550	110.12
2600	109.4
2650	107
2700	106.2
2750	102.32
2800	99.36
2850	95.28
2900	93.8
2950	92.16
3000	92.48
3050	95.28
3100	98.84
3150	100.36
3200	100.56
3250	102.04
3300	100.32
3350	97.48
3400	96.6
3450	96.88
3500	95.76
3550	95.96
3600	96.76
3650	95.12
3700	94.16
3750	93.4
3800	93.6
3850	93.76
3900	95.648
3950	96.774
4000	97.358
4050	97.104
4100	97.052
4150	95.95
4200	95.38
4250	95
4300	95.418
4350	95.51
4400	96.504
4450	96.785
4500	97.5066666666667
