Prof,DT
1000,NaN
1250,151
1300,152
1350,152
1400,151
1450,149
1500,148
1550,145
1600,144
1650,141
1700,140
1750,138
1800,135
1850,132
1900,129
1950,127
2000,123
2050,121
2100,119
2150,118
2200,116
2250,116
2300,117
2350,117
2400,116
2450,117
2500,116
2550,113
2600,110
2650,106
2700,102
2750,99
2800,97
2850,95
2900,95
2950,94
3000,94
3050,96
3100,95
3150,94
3200,94
3250,98
3300,91
3350,97
3400,92
3450,92
3500,96
3550,100
3600,98
3650,98
3700,98
3750,100
3800,97
3850,94
3900,100
3950,97
4000,97
4050,96
4100,95
4150,102
4200,101
4250,99
4300,97
4350,102
4400,99
4450,98
4500,99
