Prof,DT
0,161.24166665
50,159.717499985
100,158.19333332
150,156.669166655
200,155.14499999
250,153.620833325
300,152.09666666
350,150.07
400,146.8
450,143.28
500,140.32
550,139
600,138.56
650,139.16
700,140.2
750,139.36
800,137.6
850,134.6
900,129.56
950,123.6
1000,119.68
1050,115.52
1100,112.64
1150,112.16
1200,112.24
1250,112.88
1300,113.44
1350,114.04
1400,112.8
1450,112.2
1500,109.64
1550,108.32
1600,105.44
1650,103.44
1700,100.44
1750,98.8
1800,94.76
1850,91.64
1900,90.24
1950,90.16
2000,90.32
2050,92.08
2100,94.32
2150,94
2200,92.8
2250,91.64
2300,90.92
2350,89.84
2400,89.96
2450,91.2
2500,92.84
2550,95.48
2600,98.4
2650,101.88
2700,104.16
2750,105
2800,104.08
2850,102.76
2900,101.04
2950,97.988
3000,95.516
3050,93.272
3100,91.592
3150,89.784
3200,90.576
3250,91.8
3300,93.672
3350,95.472
3400,95.8
3450,96.125
3500,96.2466666666667
