Prof,DT
1000,NaN
1250,177.3888889
1300,171.1111111
1350,161
1400,156.4444444
1450,154.6666667
1500,155.4444444
1550,158.3333333
1600,155.4444444
1650,150.5555556
1700,142
1750,140.2222222
1800,141.8888889
1850,149.3333333
1900,151.2222222
1950,153
2000,148.2222222
2050,145.2222222
2100,139.2222222
2150,137.7777778
2200,139.3333333
2250,143.5555556
2300,140.6666667
2350,137.4444444
2400,134.2222222
2450,137.7777778
2500,137.7777778
2550,136.4444444
2600,129.8888889
2650,126.2222222
2700,124.5555556
2750,127
2800,129.6666667
2850,128.6666667
2900,128.6666667
2950,126.2222222
3000,122.8888889
3050,121.8888889
3100,121
3150,121.1111111
3200,117
3250,112.8888889
3300,110.7777778
3350,112.5555556
3400,117.1111111
3450,127.2222222
3500,130.8888889
3550,131.4444444
3600,120
3650,114.7777778
3700,107.3333333
3750,109.6666667
3800,104.2222222
3850,105
3900,105.4444444
3950,114.1111111
4000,119.3333333
4050,122.1111111
4100,122.2222222
4150,123.1111111
4200,118.3333333
4250,114.6666667
4300,115.8888889
4350,127.7777778
4400,137.1111111
4450,141.6111111
4500,140.9166667
