Prof	DT
0	174.32
250	172.45
300	169.24888888
350	164.12222222
400	159.73333332
450	157.17777776
500	156.06666664
550	154.88888888
600	152.35555554
650	149.3111111
700	146.02222222
750	144.8
800	144.93333332
850	147.13333332
900	148.73333332
950	149.39999998
1000	147.37777776
1050	144.68888888
1100	141.95555554
1150	141.02222222
1200	140.11111112
1250	139.75555556
1300	139.04444444
1350	138.73333334
1400	137.57777778
1450	136.73333332
1500	135.22222222
1550	133.62222222
1600	130.97777778
1650	128.82222222
1700	127.46666668
1750	127.22222224
1800	127.71111114
1850	128.04444446
1900	127.22222224
1950	125.66666668
2000	124.13333334
2050	122.62222222
2100	120.77777778
2150	118.77777778
2200	116.55555556
2250	114.86666668
2300	114.06666668
2350	116.11111112
2400	119.71111112
2450	123.84444444
2500	125.33333332
2550	124.86666666
2600	120.88888888
2650	116.64444444
2700	111.2
2750	108.2
2800	106.33333332
2850	107.68888888
2900	109.6222222
2950	113.19999998
3000	116.64444442
3050	120.17777776
3100	121.0222222
3150	120.08888888
3200	118.84444444
3250	119.95555556
3300	122.75555556
3350	127.41111112
3400	132.66111112
3450	136.854166675
3500	139.879629633333
