E;N;porcentagens_co2_poco;poco;poco_numero_projeto;Depth_113Ma_Base_Sal_Profundidade_Area_PUC_RJ;Depth_134Ma_Topo_Embasamento_Indistinto_Profundidade_Area_PUC_RJ;Depth_CT_Espessura_Crustal_Area_PUC_RJ;falha_dist;1_M_falha_dist;2_M_falha_dist;3_M_falha_dist;4_M_falha_dist;5_M_falha_dist;6_M_falha_dist;7_M_falha_dist;8_M_falha_dist;9_M_falha_dist;10_M_falha_dist;ext_fal_M_one_1;ext_fal_M_two_1;ext_fal_M_one_2;ext_fal_M_two_2;ext_fal_M_one_3;ext_fal_M_two_3;ext_fal_M_one_4;ext_fal_M_two_4;ext_fal_M_one_5;ext_fal_M_two_5;ext_fal_M_one_6;ext_fal_M_two_6;ext_fal_M_one_7;ext_fal_M_two_7;ext_fal_M_one_8;ext_fal_M_two_8;ext_fal_M_one_9;ext_fal_M_two_9;ext_fal_M_one_10;ext_fal_M_two_10;dist_Ignea;Crustal_Domain_Limits;magnometria;gravitometria;fluxo_termico;gradiente_termico;dist_helmet;1M_cruza_Helmet;7M_cruza_Helmet;8M_cruza_Helmet;falha_transf3;falha_transf4;falha_tran5;falha_tran6;falha_tran7;falha_tran9;dist_red_line_0;dist_red_line_1;min_M_falha_dist;min_ext_fal_M_dist
781412.4793;7213831.838;0.1;1-BRSA-1063-SPS;0;6064.61572;7387.39844;15629.32;3718.552606;185389.9793;52086.54059;146831.954;19832.99077;120541.6365;40889.70681;202546.2944;173997.7061;161079.4525;222243.4894;211139.7693;188608.0573;78869.66258;99266.52267;171165.6141;147152.2181;73113.47773;29135.07219;122813.4376;147187.1959;40889.70681;104865.3258;213759.8263;208950.4698;175401.0189;189783.1439;161079.4525;169798.7465;222414.8994;223884.5712;7294.09772;27458.06941;-0.00689;0.00074;67.5;40;175101.7902;199378.0504;204468.3902;190895.7736;93296.16073;139538.9002;46465.09834;752.4070628;47824.14583;170923.382;155850.6011;136145.5342;19832.99077;29135.07219
928864.1256;7256824.527;0;1-BRSA-1116-RJS;1;5387.24219;6621.43164;18235.908;2861.657923;74090.90529;75646.79505;36489.82959;141904.2119;84944.53662;155906.3213;103339.1179;102911.61;109120.1695;133390.1644;74764.99478;124066.7406;75646.79505;170193.5512;47051.12453;120233.6736;164500.6226;150374.5128;84944.53662;156472.0091;155906.3213;218383.5701;103339.1179;154541.7801;102911.61;151090.5396;109120.1695;151103.6876;133390.1644;153418.8571;0;39976.68202;0.00297;-0.00047;62.5;40;109576.7185;143478.2788;128874.7345;149965.6863;199282.9697;58984.15912;153748.6914;111478.0667;99027.9618;57620.93574;88081.46916;63786.03266;36489.82959;47051.12453
955749.815;7237691.368;29;1-BRSA-1146-RJS;2;5180.625;5898.74902;18243.449;2818.348953;41096.50498;101606.1736;12006.52035;161865.5159;82991.66063;171582.296;72479.5935;82681.42902;94081.13248;105037.5188;41895.96754;102645.9892;101606.1736;175090.741;21749.20988;110220.1323;174384.4113;168120.6465;82991.66063;149395.705;171582.296;227701.4165;72479.5935;132296.5045;82681.42902;132954.1505;94081.13248;137921.6829;105037.5188;127663.5858;7617.843458;12751.73175;0.00149;0.00051;60;35;76979.72506;121947.9474;103994.0594;131407.0109;204491.695;48351.08207;154953.0922;110469.494;125586.1462;60895.98843;56417.238;33056.26423;12006.52035;21749.20988
912616.0858;7138753.71;96;1-BRSA-1363-RJS;3;5276.80127;6421.17822;18533.865;4307.448253;40347.01941;82621.18208;4834.080168;105170.8738;23804.55422;122466.9239;54824.53344;28268.12344;11898.17543;73307.25108;112260.4428;40347.01941;120204.9327;90985.40598;87120.89827;4834.080168;105170.8738;127457.2434;41088.8144;43292.9414;122466.9239;148174.6356;86726.94294;57961.96454;38086.81515;41191.2748;18053.04682;32203.46495;78119.99336;73307.25108;18055.11146;26382.0096;-0.00483;0.00013;47.5;26;34670.90895;48221.34683;57463.90633;41597.85339;115321.3504;54008.21445;63282.04417;3919.959963;134048.6404;167583.6671;8712.210413;5313.587405;4834.080168;4834.080168
848618.5919;7169950.527;26;1-BRSA-491-SPS;4;5183.14111;6121.27197;18567.828;1150.329161;108085.9234;16054.88848;67034.23617;43667.44274;42106.59571;53104.50942;124143.6751;96063.91144;82721.62706;143692.153;151586.3488;109856.1947;74153.32804;52969.16297;113759.0809;67034.23617;47645.89829;56512.24866;50637.17952;71471.64628;53104.50942;101095.2804;143014.385;128758.7441;99267.22557;109566.4714;82721.62706;90376.59197;145523.1076;144362.8569;6712.562552;33351.26953;0.00297;0.00034;52.5;27;98982.35465;119390.1043;126342.209;110645.6084;81369.4954;76056.48853;38656.67334;625.1344707;76192.97451;172726.6471;75777.87006;56430.42626;16054.88848;47645.89829
955632.6273;7179347.009;76;1-BRSA-559A-RJS;5;5117.62891;5968.21777;18332.025;1171.033684;14347.25841;120111.0372;22717.95758;151034.5109;56962.83698;159866.1523;33231.54518;25427.49574;41816.35536;53743.3892;53145.80924;44349.92079;120111.0372;143951.7339;36957.81539;62937.97924;151765.339;160766.7773;56962.83698;102396.0089;159866.1523;200745.7134;36225.117;74014.60687;25427.49574;75551.39305;41816.35536;84344.97412;53743.3892;71466.35408;6226.82358;22559.59797;-0.00259;-0.00011;52.5;28.5;36239.81345;63604.44975;46911.0765;73810.25752;170986.5873;987.7158988;118650.2677;62733.65025;141465.1752;111073.6475;10163.26831;9341.065762;14347.25841;25427.49574
877170.7872;7145164.384;20;1-BRSA-594-SPS;6;5017.57764;6477.7627;19173.932;1583.113007;76293.79352;46843.45868;31347.75194;69504.14696;11456.69342;86852.35303;90597.65275;63882.72716;47806.08462;108908.6167;136210.0638;76293.79352;101326.3477;58386.61593;103569.4783;31347.75194;69504.14696;92625.67549;38777.91938;38349.01099;86852.35303;115409.5897;118129.2368;91910.78464;70418.10335;71997.79462;51185.53863;52693.83961;113751.8126;108908.6167;8843.1212;9736.275263;-0.00259;-0.00042;47.5;26;61971.81309;83198.50006;93355.67408;73198.11878;85763.45532;66315.26462;34227.00314;6105.915179;109549.175;180124.466;38021.15168;18946.56895;11456.69342;31347.75195
938027.4079;7236392.102;29;1-BRSA-618-RJS;7;5327.33398;6421.73828;17657.951;1222.744136;56121.70725;84029.50852;15188.48731;144306.3681;70885.31854;154679.7277;81697.09901;81376.52537;89218.86641;111046.7189;57637.79363;102375.1094;84029.50852;161143.1777;24897.86522;102501.2028;158863.6105;150855.8115;70885.31854;140408.4128;154679.7277;212488.0659;81697.09901;132768.6724;81376.52537;130407.5784;89218.86641;132223.88;111046.7189;131097.9981;0;21678.41475;-0.00188;0.00013;60;35;88944.11529;121833.5879;106609.609;129146.8245;190556.8472;40892.18895;142280.9307;98679.07977;107996.9038;70764.49193;66214.80145;41472.02334;15188.48731;24897.86522
908020.3198;7279771.388;0.2;1-BRSA-925-RJS;8;5542.17529;6550.00879;19510.07;1236.243472;104529.1326;64578.10502;67374.13034;134615.6755;102779.505;153135.9726;134252.2073;130196.6055;133612.4821;163574.5654;104900.9662;151453.6187;64578.10502;177823.4556;77641.51026;141319.6699;167552.452;145433.031;102779.505;174338.3764;153135.9726;220585.2898;134252.2073;181910.2648;130196.6055;176281.2729;133612.4821;173290.8902;163574.5654;182471.6524;0;50801.23234;0.00149;-0.00128;65;40;140534.036;170619.4098;157759.3477;175414.7967;205814.7306;82778.97663;163512.6756;120672.2425;84440.64779;48345.12177;118911.1701;93959.87821;64578.10502;64578.10502
894392.8037;7240956.169;0.1;1-SHEL-23-RJS;9;5451.146;6216.17578;17410.74;4164.623362;93816.56298;40167.11565;52142.90413;103995.4902;63687.04113;118299.6773;117224.0519;100266.4953;99221.25881;140528.3189;100865.1573;120909.2799;40167.11565;137380.5966;63227.07876;103376.2443;128898.7871;112473.3359;63687.04113;134198.2235;118299.6773;182561.8058;117617.6508;150567.9758;100266.4953;141710.4267;99221.25881;135689.1301;140528.3189;154917.8302;17803.01782;60392.64536;0.00055;-0.00023;62.5;40;123106.7806;139105.0531;130397.3835;141195.5654;165793.652;50583.31287;123045.516;80152.80659;64144.4708;88259.99175;96245.42656;68260.28022;40167.11565;40167.11565
