E,N,porcentage,dst_ct_cru,dst_fal_10,dst_fal_no,dst_fal_nt,dst_fal_tr,dst_helm1,dst_ig_mer,dst_red_li,esp_crust1,flux_term1,gravim1,magneto1
780015.2,7290871.3,0.3,51089.6,84943.9,87963.9,86443.9,16213.4,241924.9,38370.70,186029,28457.7,70,-0.0009,0.0001
781412.5,7213831.8,0.1,27549.0,20274.4,20292.6,58284.2,7065.3,180872.8,7219.75,140355.6,15478.8,66.8727,0.0007,-0.007
928864.1,7256824.5,0,39931.0,36557.8,36567.7,65197.6,56626.8,115502.6,0.00,68285.9,18125.4,62.6272,-0.0007,0.0027
955749.8,7237691.4,29,12905.9,12407.2,12452.8,51041.4,51068.3,82948.3,7489.94,37003.1,18209.1,60,0.0005,0.0012
912616.1,7138753.7,96,27146.6,4389.1,5035.5,16623.2,8061.7,39536.4,17780.55,11032.1,18572.0,47.4999,0,-0.0048
848618.6,7169950.5,26,33407.5,16285.6,49736.5,19473.2,6093.4,104292.5,5379.97,60159.0,18770.1,52.4994,0.0002,0.003
955632.6,7179347.0,76,23217.8,10066.3,25889.9,12501.5,6217.7,41898.8,6243.24,13601.4,18379.1,52.5,-0.0002,-0.004
877170.8,7145164.4,20,10094.7,11148.3,31899.3,12613.0,10640.0,67436.8,8400.82,23059.6,19076.9,47.5512,-0.0005,-0.0024
938027.4,7236392.1,29,21844.3,15596.2,15626.0,45205.2,43189.1,95108.3,0.00,46567.7,17818.7,60.0001,0.0001,-0.0015
908020.3,7279771.4,0.2,50451.5,64690.5,64877.3,74572.0,62673.2,146562.6,0.00,98656.7,19380.5,65,-0.0014,0.0017
894392.8,7240956.2,0.1,59902.6,39775.3,39944.1,46958.8,26542.8,129317.5,17693.93,72963.3,17249.6,62.5,-0.0002,0.0005
771553.6,7162795.6,0.9,12192.9,16496.4,27357.6,18085.8,7602.4,146095.3,54612.34,116361.6,18289.5,52.9552,0.0003,0.0034
950315.0,7275955.8,30,27520.4,48891.6,48899.9,85725.0,32437.5,112224.0,16052.40,69965.0,18609.8,65.0001,-0.0017,-0.0002
975701.7,7281489.8,44,22476.9,60704.8,60711.4,99354.4,15591.8,97754.4,0.00,58107.3,18909.6,62.6082,0.0001,-0.0014
927990.1,7236395.5,2.8,29889.3,24088.0,24189.4,45410.5,38628.4,102260.4,0.00,51585.4,17526.9,60.0471,-0.0003,-0.0019
951885.9,7258686.7,27,18018.7,31943.0,31955.2,69406.7,46562.9,100091.2,9150.41,56015.9,18285.2,62.5,-0.0017,-0.0012
