Prof,TH,Th,Poisson,Coesao(psi),angulo_atrito_interno(graus)
1000,NaN,NaN,NaN,NaN,NaN
1250,4793,3715,0.362507045,4506,28
1300,4934,3826,0.354895604,4508,26
1350,5076,3937,0.361090378,4510,27
1400,5217,4048,0.346278132,4513,26
1450,5359,4159,0.339862008,4514,24
1500,5500,4270,0.33704199,4516,24
1550,5642,4381,0.329916406,4522,27
1600,5783,4492,0.330562044,4524,27
1650,5925,4603,0.346461586,4527,26
1700,6066,4714,0.358621054,4528,28
1750,6208,4824,0.363574509,4531,27
1800,6349,4935,0.386407998,4532,26
1850,6491,5046,0.374882879,4533,26
1900,6632,5157,0.370539252,4537,26
1950,6774,5268,0.359184861,4540,24
2000,6915,5379,0.350003849,4542,23
2050,7057,5490,0.331173566,4543,21
2100,7198,5601,0.335580017,4545,22
2150,7340,5712,0.328067588,4549,22
2200,7481,5823,0.336038203,4550,24
2250,7623,5933,0.33357435,4555,27
2300,7764,6044,0.338247559,4561,28
2350,7906,6155,0.337508668,4564,26
2400,8047,6266,0.333805819,4564,27
2450,8189,6377,0.335039914,4564,27
2500,8330,6488,0.343721412,4566,26
2550,8472,6599,0.346413006,4568,27
2600,8613,6710,0.338337593,4572,27
2650,8755,6821,0.359001768,4575,29
2700,8896,6931,0.352884222,4578,27
2750,9038,7042,0.347166173,4580,27
2800,9179,7153,0.336258096,4585,26
2850,9321,7264,0.335254081,4586,25
2900,9462,7375,0.314931204,4587,23
2950,9604,7486,0.322503251,4588,24
3000,9745,7597,0.330121796,4590,23
3050,9887,7708,0.353587041,4592,24
3100,10028,7819,0.358250545,4593,25
3150,10170,7930,0.361621439,4594,26
3200,10311,8040,0.363772633,4598,26
3250,10453,8151,0.35113855,4602,26
3300,10594,8262,0.333534066,4605,26
3350,10736,8373,0.334008207,4609,26
3400,10877,8484,0.349556601,4611,25
3450,11019,8595,0.348925192,4614,25
3500,11160,8706,0.361223051,4613,25
3550,11302,8817,0.368267685,4618,24
3600,11443,8928,0.380815018,4623,25
3650,11585,9039,0.375041866,4625,25
3700,11726,9149,0.363747484,4627,27
3750,11868,9260,0.356194485,4628,26
3800,12009,9371,0.352425544,4629,25
3850,12151,9482,0.349956011,4629,26
3900,12292,9593,0.346927425,4628,28
3950,12434,9704,0.35569925,4636,26
4000,12575,9815,0.350964635,4641,28
4050,12717,9926,0.344719541,4646,28
4100,12858,10037,0.345274772,4645,27
4150,13000,10148,0.34945366,4646,27
4200,13141,10259,0.340307825,4651,26
4250,13283,10369,0.333368078,4652,26
4300,13424,10480,0.34829404,4656,28
4350,13566,10591,0.337106028,4659,26
4400,13707,10702,0.332833761,4662,27
4450,13849,10813,0.337072199,4664,28
4500,13990,10924,0.354107609,4662,26
